,latitude,longitude,PRIX_m2,date_mutation,valeur_fonciere,SURF
296,41.980713,8.668163,4184.210526315789,2017-01-23,795000.0,190.0
297,41.980713,8.668163,425.58886509635977,2017-01-23,795000.0,1868.0
298,41.980502,8.667915,3397.435897435897,2017-01-23,795000.0,234.0
299,41.918054,8.729189,3502.8571428571427,2017-01-17,122600.0,35.0
300,41.983324,8.79502,2858.064516129032,2017-01-20,88600.0,31.0
301,41.930911,8.729386,2830.188679245283,2017-01-19,150000.0,53.0
302,41.655927,9.307909,4807.692307692308,2017-02-07,125000.0,26.0
303,41.655826,9.307646,694.4444444444445,2017-02-07,125000.0,180.0
304,41.655793,9.307555,735.2941176470588,2017-02-07,125000.0,170.0
305,41.655729,9.307424,625.0,2017-02-07,125000.0,200.0
306,41.983324,8.79502,2356.8398727465537,2017-01-20,177800.0,75.44
307,41.706945,9.154527,125.0,2017-02-07,5000.0,40.0
308,41.70682,9.154628,121.95121951219512,2017-02-07,5000.0,41.0
309,41.935193,8.745086,1551.7046098085852,2017-02-09,137000.0,88.29
310,41.899134,8.813083,4415.584415584415,2017-02-14,340000.0,77.0
311,41.94044,8.750668,1768.421052631579,2017-02-14,168000.0,95.0
312,41.895669,8.809891,6590.492957746479,2017-01-31,187170.0,28.4
313,41.920075,8.728738,3423.680456490728,2017-01-31,120000.0,35.05
314,41.857063,8.793011,4608.333333333333,2017-01-27,553000.0,120.0
315,41.857063,8.793011,4608.333333333333,2017-01-27,553000.0,120.0
316,41.675126,8.898607,1125.0,2017-02-11,90000.0,80.0
317,41.938785,8.739195,4217.441860465116,2017-01-31,181350.0,43.0
318,41.909911,8.68242,3425.531914893617,2017-01-27,161000.0,47.0
319,41.94233,8.843508,1812.5,2017-02-08,290000.0,160.0
320,41.942173,8.843744,381.578947368421,2017-02-08,290000.0,760.0
321,41.942175,8.843658,2265.625,2017-02-08,290000.0,128.0
322,41.936213,8.744928,1675.0,2017-02-07,167500.0,100.0
323,41.921486,8.73416,2303.793580095224,2017-02-07,150000.0,65.11
324,41.917557,8.739189,5442.498816848083,2017-01-26,115000.0,21.13
325,42.11499,8.68879,3478.260869565217,2017-02-07,320000.0,92.0
326,42.116498,8.682153,5333.333333333333,2017-02-07,320000.0,60.0
327,42.116737,8.682522,72.72727272727273,2017-02-07,320000.0,4400.0
328,42.116181,8.683013,15.748031496062993,2017-02-07,320000.0,20320.0
329,42.116181,8.683013,15.748031496062993,2017-02-07,320000.0,20320.0
330,42.115911,8.686605,2000.0,2017-02-07,320000.0,160.0
331,42.116052,8.678123,156.09756097560975,2017-02-07,320000.0,2050.0
332,42.115773,8.677944,170.2127659574468,2017-02-07,320000.0,1880.0
333,42.11633,8.682025,253.968253968254,2017-02-07,320000.0,1260.0
334,42.114811,8.688976,1306.1224489795918,2017-02-07,320000.0,245.0
335,42.115162,8.687967,3368.4210526315787,2017-02-07,320000.0,95.0
336,42.115162,8.687967,111.69284467713788,2017-02-07,320000.0,2865.0
337,42.115052,8.689003,2064.516129032258,2017-02-07,320000.0,155.0
338,42.114858,8.689066,306.51340996168585,2017-02-07,320000.0,1044.0
339,42.115132,8.689261,1592.039800995025,2017-02-07,320000.0,201.0
340,41.661343,9.328031,143.31210191082803,2017-01-31,180000.0,1256.0
341,41.661434,9.328114,7200.0,2017-01-31,180000.0,25.0
342,41.622463,9.291483,4572.372670807454,2017-01-30,736152.0,161.0
343,41.622463,9.291483,9088.296296296296,2017-01-30,736152.0,81.0
344,41.599763,9.333682,180.91776315789477,2017-01-26,274995.0,1520.0
345,41.599262,9.332899,4999.909090909091,2017-01-26,274995.0,55.0
346,41.618198,9.301416,1904.5454545454545,2017-01-23,41900.0,22.0
347,41.618198,9.301416,1176.6357764672846,2017-01-23,41900.0,35.61
348,41.937753,8.756278,3276.0365853658536,2017-01-25,268635.0,82.0
349,41.922018,8.720637,3762.5,2017-01-25,150500.0,40.0
350,41.69894,9.351298,281.25,2017-01-26,45000.0,160.0
351,41.922864,8.738291,2857.1428571428573,2017-01-19,100000.0,35.0
352,41.922864,8.738291,3000.0,2017-01-19,105000.0,35.0
353,41.699147,9.35313,3875.0,2017-01-26,248000.0,64.0
354,41.699147,9.35313,3951.2195121951218,2017-01-26,162000.0,41.0
355,41.639776,9.335494,893.3333333333334,2017-01-28,670000.0,750.0
356,41.640177,9.336021,280.569514237856,2017-01-28,670000.0,2388.0
357,41.934271,8.743421,2365.0793650793653,2017-02-15,149000.0,63.0
358,41.993381,8.795993,152.1099116781158,2017-02-09,155000.0,1019.0
359,41.984851,8.797456,3076.923076923077,2017-02-14,200000.0,65.0
360,41.985016,8.797591,148.5884101040119,2017-02-14,200000.0,1346.0
361,41.985262,8.797989,141.94464158978,2017-02-14,200000.0,1409.0
362,41.991154,8.832604,10.0,2017-02-03,7630.0,763.0
363,41.906632,8.672669,8092.307692307692,2017-02-03,1052000.0,130.0
364,41.935257,8.742211,1723.7468813789974,2017-02-06,152000.0,88.18
365,41.560859,9.316778,179.71014492753622,2017-01-31,620000.0,3450.0
366,41.560859,9.316778,6200.0,2017-01-31,620000.0,100.0
367,41.588872,9.279162,3016.0,2017-01-27,150800.0,50.0
368,41.588872,9.279162,3944.5461679309446,2017-01-27,150800.0,38.23
369,41.674482,8.904648,2626.5625,2017-02-09,252150.0,96.0
370,42.028773,8.842237,2805.8823529411766,2017-02-06,238500.0,85.0
371,41.944069,8.751864,3723.764387271496,2017-01-31,165000.0,44.31
372,42.003115,8.759815,0.0416666666666666,2017-02-13,1.0,24.0
373,42.002847,8.760271,0.0071428571428571,2017-02-13,1.0,140.0
374,42.00253,8.760687,0.0125,2017-02-13,1.0,80.0
375,41.933183,8.739312,2520.057601316601,2017-02-08,245000.0,97.22
376,,,4105.962059620596,2017-02-03,151510.0,36.9
377,41.870366,8.80961,1315.0862068965516,2017-01-30,610200.0,464.0
378,41.870366,8.80961,4151.0204081632655,2017-01-30,610200.0,147.0
379,41.870366,8.80961,610.2,2017-01-30,610200.0,1000.0
380,41.870366,8.80961,4151.0204081632655,2017-01-30,610200.0,147.0
381,41.870366,8.80961,1315.0862068965516,2017-01-30,610200.0,464.0
382,41.870366,8.80961,610.2,2017-01-30,610200.0,1000.0
383,41.67469,8.900369,4280.268374504422,2017-02-02,140350.0,32.79
384,41.591289,9.210518,1244.8132780082988,2017-02-09,300000.0,241.0
385,41.591197,9.21035,882.3529411764706,2017-02-09,300000.0,340.0
